indicator_id,period_start,period_end,value,last_updated
RI_2D2_bus_value_for_money,2023-01-01,2023-12-31,55,2026-08-27
RI_2D2_bus_value_for_money,2024-01-01,2024-12-31,60,2026-08-27
RI_2D2_bus_value_for_money,2025-01-01,2025-12-31,49,2026-08-27
