indicator_id,period_start,period_end,value,last_updated
RI_6A1_child_poverty,2015-04-01,2016-03-31,24.552376677752903,2026-06-16
RI_6A1_child_poverty,2016-04-01,2017-03-31,24.391101704574105,2026-06-16
RI_6A1_child_poverty,2017-04-01,2018-03-31,24.482830201297205,2026-06-16
RI_6A1_child_poverty,2018-04-01,2019-03-31,24.4386574174722,2026-06-16
RI_6A1_child_poverty,2019-04-01,2020-03-31,25.82809683793591,2026-06-16
RI_6A1_child_poverty,2020-04-01,2021-03-31,24.948100474322903,2026-06-16
RI_6A1_child_poverty,2021-04-01,2022-03-31,25.776434889858997,2026-06-16
RI_6A1_child_poverty,2022-04-01,2023-03-31,25.850095978943205,2026-06-16
RI_6A1_child_poverty,2023-04-01,2024-03-31,27.449071844177595,2026-06-16
