indicator_id,period_start,period_end,value,last_updated
RI_3C4_temp_accommodation,2019-01-01,2019-12-31,1430,2026-08-27
RI_3C4_temp_accommodation,2020-01-01,2020-12-31,1572,2026-08-27
RI_3C4_temp_accommodation,2021-01-01,2021-12-31,1698,2026-08-27
RI_3C4_temp_accommodation,2022-01-01,2022-12-31,1927,2026-08-27
RI_3C4_temp_accommodation,2023-01-01,2023-12-31,1870,2026-08-27
RI_3C4_temp_accommodation,2024-01-01,2024-12-31,1934,2026-08-27
RI_3C4_temp_accommodation,2025-01-01,2025-12-31,2232,2026-08-27
